week,order_counterbalance,alien_counterbalance,set_counterbalance,block,condition,tr_type,tr_num,block_tr_num,audio,alien,tr_dur
1,2,2,1,1,hi,study,1,1,juss,B2,8600
1,2,2,1,1,hi,retrieve,2,2,juss,B2,3000
1,2,2,1,1,hi,study,3,3,juss,B2,8600
1,2,2,1,1,low,study,4,4,chev,J3,8600
1,2,2,1,1,low,retrieve,5,5,chev,J3,3000
1,2,2,1,1,low,study,6,6,chev,J3,8600
1,2,2,1,1,hi,study,7,7,wilp,A1,8600
1,2,2,1,1,hi,retrieve,8,8,wilp,A1,3000
1,2,2,1,1,hi,study,9,9,wilp,A1,8600
1,2,2,1,1,hi,retrieve,10,10,juss,B2,3000
1,2,2,1,1,hi,study,11,11,juss,B2,8600
1,2,2,1,1,low,retrieve,12,12,chev,J3,3000
1,2,2,1,1,low,study,13,13,chev,J3,8600
1,2,2,1,1,hi,retrieve,14,14,wilp,A1,3000
1,2,2,1,1,hi,study,15,15,wilp,A1,8600
1,2,2,1,1,hi,retrieve,16,16,juss,B2,3000
1,2,2,1,1,hi,study,17,17,juss,B2,8600
1,2,2,1,1,low,retrieve,18,18,chev,J3,3000
1,2,2,1,1,low,study,19,19,chev,J3,8600
1,2,2,1,1,hi,retrieve,20,20,wilp,A1,3000
1,2,2,1,1,hi,study,21,21,wilp,A1,8600
1,2,2,1,2,low,study,22,1,gazzer,C31,8600
1,2,2,1,2,low,retrieve,23,2,gazzer,C31,3000
1,2,2,1,2,low,study,24,3,gazzer,C31,8600
1,2,2,1,2,hi,study,25,4,pyzer,G3,8600
1,2,2,1,2,hi,retrieve,26,5,pyzer,G3,3000
1,2,2,1,2,hi,study,27,6,pyzer,G3,8600
1,2,2,1,2,low,study,28,7,modi,E3,8600
1,2,2,1,2,low,retrieve,29,8,modi,E3,3000
1,2,2,1,2,low,study,30,9,modi,E3,8600
1,2,2,1,2,low,retrieve,31,10,gazzer,C31,3000
1,2,2,1,2,low,study,32,11,gazzer,C31,8600
1,2,2,1,2,hi,retrieve,33,12,pyzer,G3,3000
1,2,2,1,2,hi,study,34,13,pyzer,G3,8600
1,2,2,1,2,low,retrieve,35,14,modi,E3,3000
1,2,2,1,2,low,study,36,15,modi,E3,8600
1,2,2,1,2,low,retrieve,37,16,gazzer,C31,3000
1,2,2,1,2,low,study,38,17,gazzer,C31,8600
1,2,2,1,2,hi,retrieve,39,18,pyzer,G3,3000
1,2,2,1,2,hi,study,40,19,pyzer,G3,8600
1,2,2,1,2,low,retrieve,41,20,modi,E3,3000
1,2,2,1,2,low,study,42,21,modi,E3,8600
2,2,2,2,1,low,study,1,1,foob,A3,8600
2,2,2,2,1,low,retrieve,2,2,foob,A3,3000
2,2,2,2,1,low,study,3,3,foob,A3,8600
2,2,2,2,1,hi,study,4,4,darg,A33,8600
2,2,2,2,1,hi,retrieve,5,5,darg,A33,3000
2,2,2,2,1,hi,study,6,6,darg,A33,8600
2,2,2,2,1,low,study,7,7,kulp,I1,8600
2,2,2,2,1,low,retrieve,8,8,kulp,I1,3000
2,2,2,2,1,low,study,9,9,kulp,I1,8600
2,2,2,2,1,low,retrieve,10,10,foob,A3,3000
2,2,2,2,1,low,study,11,11,foob,A3,8600
2,2,2,2,1,hi,retrieve,12,12,darg,A33,3000
2,2,2,2,1,hi,study,13,13,darg,A33,8600
2,2,2,2,1,low,retrieve,14,14,kulp,I1,3000
2,2,2,2,1,low,study,15,15,kulp,I1,8600
2,2,2,2,1,low,retrieve,16,16,foob,A3,3000
2,2,2,2,1,low,study,17,17,foob,A3,8600
2,2,2,2,1,hi,retrieve,18,18,darg,A33,3000
2,2,2,2,1,hi,study,19,19,darg,A33,8600
2,2,2,2,1,low,retrieve,20,20,kulp,I1,3000
2,2,2,2,1,low,study,21,21,kulp,I1,8600
2,2,2,2,2,hi,study,22,1,heab,B23,8600
2,2,2,2,2,hi,retrieve,23,2,heab,B23,3000
2,2,2,2,2,hi,study,24,3,heab,B23,8600
2,2,2,2,2,low,study,25,4,sarl,E1,8600
2,2,2,2,2,low,retrieve,26,5,sarl,E1,3000
2,2,2,2,2,low,study,27,6,sarl,E1,8600
2,2,2,2,2,hi,study,28,7,koba,J2,8600
2,2,2,2,2,hi,retrieve,29,8,koba,J2,3000
2,2,2,2,2,hi,study,30,9,koba,J2,8600
2,2,2,2,2,hi,retrieve,31,10,heab,B23,3000
2,2,2,2,2,hi,study,32,11,heab,B23,8600
2,2,2,2,2,low,retrieve,33,12,sarl,E1,3000
2,2,2,2,2,low,study,34,13,sarl,E1,8600
2,2,2,2,2,hi,retrieve,35,14,koba,J2,3000
2,2,2,2,2,hi,study,36,15,koba,J2,8600
2,2,2,2,2,hi,retrieve,37,16,heab,B23,3000
2,2,2,2,2,hi,study,38,17,heab,B23,8600
2,2,2,2,2,low,retrieve,39,18,sarl,E1,3000
2,2,2,2,2,low,study,40,19,sarl,E1,8600
2,2,2,2,2,hi,retrieve,41,20,koba,J2,3000
2,2,2,2,2,hi,study,42,21,koba,J2,8600
